RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LGLB;;LMR-3-LS;LMR-3-LS
LBAS;LGLB-LWLS;;
LWLS;LGLB-2-LS;;
LZIO;LGLB-LS;;
LZI;LGLB-1-LS;;
LZI Z;LGLB-1-LS;;
LANG;LGLB-2-LS;;
LMW;LGLB-LS;;
LTH;LGLB-1-LS;;
L7891;LGLB-LS;;
L7893;LGLB-LS;;
LDK;LGLB-LS;;
L2592;LGLB-LS;;
L2594;LGLB-LS;;
LS;LM-210/10-LSG(610);;
LS  G;;LS-610/710-WW;LS-610/710-WW
