RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HLER;;HC-11-HF;HC-11-HF
H904L;HLER-HGI;;
H902L;HLER-HGI;;
HIMS;HLER-802-HGI;;
HDOG;HLER-702-HGI;;
HDEH;HLER-HGI;;
H108D;HLER-HGI;;
H109D;HLER-HGI;;
HMRS;HLER-602-HGI;;
H91LM;HLER-HGI;;
HLFG;HLER-HGI;;
HLFU;HLER-HGI;;
HGI;HLER-402-HF;;
H52G;HGI-HF;;
H152C;HGI-HF;;
HCAL;HGI-HF;;
H151C;HGI-HF;;
H51C;HGI-HF;;
H146C;HGI-HF;;
H46C;HGI-HF;;
H147C;HGI-HF;;
H47C;HGI-HF;;
HF;;HLER-303-LOE;HLER-303-LOE
