RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LS  G;;LSW-705/604-LS;LSW-705/604-LS
LS;LSG(6401)-4/204-LM;;
L2594;LS-LGLB;;
L2592;LS-LGLB;;
LDK;LS-LGLB;;
L7893;LS-LGLB;;
L7891;LS-LGLB;;
LTH;LS-2-LGLB Gz;;
LMW;LS-LGLB;;
LANG;LS-1-LGLB;;
LZI Z;LS-2-LGLB;;
LZI;LS-2-LGLB;;
LZIO;LS-LGLB;;
LWLS;LS-1-LGLB;;
LBAS;LWLS-LGLB;;
LGLB;LS-2-LMR;;
LMR F;;LGLB-A0-LMR;LGLB-A0-LMR
